"exam_code","year","sitting","document_type","source_repo_path","original_filename","normalized_id","file_ext","size_bytes","has_solutions","has_examiner_report","qa_status","topics","tags","notes","last_attempt_date"
"CB1","2020","September","examiner-report","resources/past-papers/raw/CB1/Sep20/IandF_CB1_202009_Examiners_Report.pdf","IandF_CB1_202009_Examiners_Report.pdf","cb1-2020-september-examiner-report-iandf-cb1-202009-examiners-report",".pdf","90922","no","yes","pending","","","",""
"CB1","2020","September","question-paper","resources/past-papers/raw/CB1/Sep20/IandF_CB1_202009_ExamPaper.pdf","IandF_CB1_202009_ExamPaper.pdf","cb1-2020-september-question-paper-iandf-cb1-202009-exampaper",".pdf","309025","no","no","pending","","","",""
"CB1","2021","April","examiner-report","resources/past-papers/raw/CB1/Apr21/IandF_CB1_202104_Examiners_Report.pdf","IandF_CB1_202104_Examiners_Report.pdf","cb1-2021-april-examiner-report-iandf-cb1-202104-examiners-report",".pdf","52626","no","yes","pending","","","",""
"CB1","2021","April","question-paper","resources/past-papers/raw/CB1/Apr21/CB1_121_EXAM.pdf","CB1_121_EXAM.pdf","cb1-2021-april-question-paper-cb1-121-exam",".pdf","278237","no","no","pending","","","",""
"CB1","2021","September","examiner-report","resources/past-papers/raw/CB1/Sep21/IandF_CB1_202109_Examiner Report.pdf","IandF_CB1_202109_Examiner Report.pdf","cb1-2021-september-examiner-report-iandf-cb1-202109-examiner-report",".pdf","81629","no","yes","pending","","","",""
"CB1","2021","September","question-paper","resources/past-papers/raw/CB1/Sep21/CB1_221_EXAM_Clean Proof.pdf","CB1_221_EXAM_Clean Proof.pdf","cb1-2021-september-question-paper-cb1-221-exam-clean-proof",".pdf","207023","no","no","pending","","","",""
"CB1","2022","April","examiner-report","resources/past-papers/raw/CB1/Apr22/IandF_CB1_202204_Examiner Report.pdf","IandF_CB1_202204_Examiner Report.pdf","cb1-2022-april-examiner-report-iandf-cb1-202204-examiner-report",".pdf","76652","no","yes","pending","","","",""
"CB1","2022","April","question-paper","resources/past-papers/raw/CB1/Apr22/CB1_April22_EXAM_Clean Proof.pdf","CB1_April22_EXAM_Clean Proof.pdf","cb1-2022-april-question-paper-cb1-april22-exam-clean-proof",".pdf","178247","no","no","pending","","","",""
"CB1","2022","September","examiner-report","resources/past-papers/raw/CB1/Sep22/IandF_CB1_202209_Examiner Report.pdf","IandF_CB1_202209_Examiner Report.pdf","cb1-2022-september-examiner-report-iandf-cb1-202209-examiner-report",".pdf","138050","no","yes","pending","","","",""
"CB1","2022","September","question-paper","resources/past-papers/raw/CB1/Sep22/CB1_September22_EXAM.pdf","CB1_September22_EXAM.pdf","cb1-2022-september-question-paper-cb1-september22-exam",".pdf","209096","no","no","pending","","","",""
"CB1","2023","April","examiner-report","resources/past-papers/raw/CB1/Apr23/IandF_CB1_202304_Examiner report.pdf","IandF_CB1_202304_Examiner report.pdf","cb1-2023-april-examiner-report-iandf-cb1-202304-examiner-report",".pdf","98262","no","yes","pending","","","",""
"CB1","2023","April","question-paper","resources/past-papers/raw/CB1/Apr23/CB1_April23_EXAM_Clean Proof.pdf","CB1_April23_EXAM_Clean Proof.pdf","cb1-2023-april-question-paper-cb1-april23-exam-clean-proof",".pdf","799067","no","no","pending","","","",""
"CB1","2023","September","examiner-report","resources/past-papers/raw/CB1/Sep23/IandF_CB1_202309_Examiner Report.pdf","IandF_CB1_202309_Examiner Report.pdf","cb1-2023-september-examiner-report-iandf-cb1-202309-examiner-report",".pdf","102706","no","yes","pending","","","",""
"CB1","2023","September","question-paper","resources/past-papers/raw/CB1/Sep23/CB1_September23_Clean Proof.pdf","CB1_September23_Clean Proof.pdf","cb1-2023-september-question-paper-cb1-september23-clean-proof",".pdf","188597","no","no","pending","","","",""
"CB1","2024","April","examiner-report","resources/past-papers/raw/CB1/Apr24/CB1_April 2024_Examiner Report.pdf","CB1_April 2024_Examiner Report.pdf","cb1-2024-april-examiner-report-cb1-april-2024-examiner-report",".pdf","390360","no","yes","pending","","","",""
"CB1","2024","April","question-paper","resources/past-papers/raw/CB1/Apr24/CB1_April_2024_Exam_Paper.pdf","CB1_April_2024_Exam_Paper.pdf","cb1-2024-april-question-paper-cb1-april-2024-exam-paper",".pdf","157824","no","no","pending","","","",""
