"exam_code","source_path","destination_path","relative_path","file_ext","size_bytes","sha256","last_ingested_utc"
"CB1","C:\Users\Danha\Downloads\Organised Actuarial Past Papers\CB1\Apr21\CB1_121_EXAM.pdf","resources/past-papers/raw/CB1/Apr21/CB1_121_EXAM.pdf","CB1/Apr21/CB1_121_EXAM.pdf",".pdf","278237","9900951609C34DA2B5D077A3D77358DCC0E6F6E43CB7134AC6422D1454E888A2","2026-06-15T23:23:18Z"
"CB1","C:\Users\Danha\Downloads\Organised Actuarial Past Papers\CB1\Apr21\IandF_CB1_202104_Examiners_Report.pdf","resources/past-papers/raw/CB1/Apr21/IandF_CB1_202104_Examiners_Report.pdf","CB1/Apr21/IandF_CB1_202104_Examiners_Report.pdf",".pdf","52626","46697CF1AC1632F9D714DA879D70FB902BF2663F99E187047D26790544A6406D","2026-06-15T23:23:18Z"
"CB1","C:\Users\Danha\Downloads\Organised Actuarial Past Papers\CB1\Apr22\CB1_April22_EXAM_Clean Proof.pdf","resources/past-papers/raw/CB1/Apr22/CB1_April22_EXAM_Clean Proof.pdf","CB1/Apr22/CB1_April22_EXAM_Clean Proof.pdf",".pdf","178247","74FDFCAF38D140D07E3CA05E916D9A2E2E53925223B502EBCC1665D3550E2D29","2026-06-15T23:23:18Z"
"CB1","C:\Users\Danha\Downloads\Organised Actuarial Past Papers\CB1\Apr22\IandF_CB1_202204_Examiner Report.pdf","resources/past-papers/raw/CB1/Apr22/IandF_CB1_202204_Examiner Report.pdf","CB1/Apr22/IandF_CB1_202204_Examiner Report.pdf",".pdf","76652","2D036F0649E53C5F6D49A806F362D551F6BC9E6EA514BC1E07226E1FCA524BCC","2026-06-15T23:23:18Z"
"CB1","C:\Users\Danha\Downloads\Organised Actuarial Past Papers\CB1\Apr23\CB1_April23_EXAM_Clean Proof.pdf","resources/past-papers/raw/CB1/Apr23/CB1_April23_EXAM_Clean Proof.pdf","CB1/Apr23/CB1_April23_EXAM_Clean Proof.pdf",".pdf","799067","B4F1388C5AF1197C02DD63B061E26ECEDB263CE3A4B6DC8871777638D2A0510D","2026-06-15T23:23:18Z"
"CB1","C:\Users\Danha\Downloads\Organised Actuarial Past Papers\CB1\Apr23\IandF_CB1_202304_Examiner report.pdf","resources/past-papers/raw/CB1/Apr23/IandF_CB1_202304_Examiner report.pdf","CB1/Apr23/IandF_CB1_202304_Examiner report.pdf",".pdf","98262","1161B31CE74A26C8738D9AC4928D75879A1410476BCAB3635E2042BD5525F9D8","2026-06-15T23:23:18Z"
"CB1","C:\Users\Danha\Downloads\Organised Actuarial Past Papers\CB1\Apr24\CB1_April 2024_Examiner Report.pdf","resources/past-papers/raw/CB1/Apr24/CB1_April 2024_Examiner Report.pdf","CB1/Apr24/CB1_April 2024_Examiner Report.pdf",".pdf","390360","E67EDB78E5D46861CC06B194479549B1624B7743546E1F8B4601C06C50F43E61","2026-06-15T23:23:18Z"
"CB1","C:\Users\Danha\Downloads\Organised Actuarial Past Papers\CB1\Apr24\CB1_April_2024_Exam_Paper.pdf","resources/past-papers/raw/CB1/Apr24/CB1_April_2024_Exam_Paper.pdf","CB1/Apr24/CB1_April_2024_Exam_Paper.pdf",".pdf","157824","1355C1819C2777708697121C49036A2FF1158AE7BE3678119359F89B5CB399E8","2026-06-15T23:23:18Z"
"CB1","C:\Users\Danha\Downloads\Organised Actuarial Past Papers\CB1\Apr25\CB1_April 2025_Exam Paper.pdf","resources/past-papers/raw/CB1/Apr25/CB1_April 2025_Exam Paper.pdf","CB1/Apr25/CB1_April 2025_Exam Paper.pdf",".pdf","151112","13E8D6991D855CAD8B1F53E716F07B9EEB26C6E41ADB80DDA0527F1653A5F503","2026-06-15T23:23:18Z"
"CB1","C:\Users\Danha\Downloads\Organised Actuarial Past Papers\CB1\Apr25\CB1_April 2025_Examiners' Report.pdf","resources/past-papers/raw/CB1/Apr25/CB1_April 2025_Examiners' Report.pdf","CB1/Apr25/CB1_April 2025_Examiners' Report.pdf",".pdf","920405","774147595C25886A6B9998740D018CD2C0A53ED488CAB48860596C5160E3BC5D","2026-06-15T23:23:18Z"
"CB1","C:\Users\Danha\Downloads\Organised Actuarial Past Papers\CB1\Sep20\IandF_CB1_202009_Examiners_Report.pdf","resources/past-papers/raw/CB1/Sep20/IandF_CB1_202009_Examiners_Report.pdf","CB1/Sep20/IandF_CB1_202009_Examiners_Report.pdf",".pdf","90922","A06F81639ACEF45E4D4B23611AAD0FF2E7AACAFC727F9B77CC9CA870EED15039","2026-06-15T23:23:18Z"
"CB1","C:\Users\Danha\Downloads\Organised Actuarial Past Papers\CB1\Sep20\IandF_CB1_202009_ExamPaper.pdf","resources/past-papers/raw/CB1/Sep20/IandF_CB1_202009_ExamPaper.pdf","CB1/Sep20/IandF_CB1_202009_ExamPaper.pdf",".pdf","309025","7595EA08751F432D53B0A8B923DDF5EB8943C177DF29C6CA9EAD7A6C8249EFA3","2026-06-15T23:23:18Z"
"CB1","C:\Users\Danha\Downloads\Organised Actuarial Past Papers\CB1\Sep21\CB1_221_EXAM_Clean Proof.pdf","resources/past-papers/raw/CB1/Sep21/CB1_221_EXAM_Clean Proof.pdf","CB1/Sep21/CB1_221_EXAM_Clean Proof.pdf",".pdf","207023","94551F1D8A06F519F99AA4D040FD229A1FD72BCD420D7BDE96F6C86C2D47C6B0","2026-06-15T23:23:18Z"
"CB1","C:\Users\Danha\Downloads\Organised Actuarial Past Papers\CB1\Sep21\IandF_CB1_202109_Examiner Report.pdf","resources/past-papers/raw/CB1/Sep21/IandF_CB1_202109_Examiner Report.pdf","CB1/Sep21/IandF_CB1_202109_Examiner Report.pdf",".pdf","81629","2A7AC3F9CEF13D0FE580CA5F6E236AEB6E1F01ED98E5EC09DB9AEA564CC9046B","2026-06-15T23:23:18Z"
"CB1","C:\Users\Danha\Downloads\Organised Actuarial Past Papers\CB1\Sep22\CB1_September22_EXAM.pdf","resources/past-papers/raw/CB1/Sep22/CB1_September22_EXAM.pdf","CB1/Sep22/CB1_September22_EXAM.pdf",".pdf","209096","9C69E9C512FB6D15FA7ADBC9041550C5A3D49C0F44086A4F7EF7089D906FE04E","2026-06-15T23:23:18Z"
"CB1","C:\Users\Danha\Downloads\Organised Actuarial Past Papers\CB1\Sep22\IandF_CB1_202209_Examiner Report.pdf","resources/past-papers/raw/CB1/Sep22/IandF_CB1_202209_Examiner Report.pdf","CB1/Sep22/IandF_CB1_202209_Examiner Report.pdf",".pdf","138050","438EB6053BA6F162D5FADB49CCFA3E9A5CB3DE7DC82BB3F8C0F2CF36BD02D375","2026-06-15T23:23:18Z"
"CB1","C:\Users\Danha\Downloads\Organised Actuarial Past Papers\CB1\Sep23\CB1_September23_Clean Proof.pdf","resources/past-papers/raw/CB1/Sep23/CB1_September23_Clean Proof.pdf","CB1/Sep23/CB1_September23_Clean Proof.pdf",".pdf","188597","88C3D38F6CA0C62E0F6510EEDF446745675C19271C49EA90E6831B2049C1BAB3","2026-06-15T23:23:18Z"
