day,height
1,105.1
2,2.2
3,14
4,44.9
5,18.7
6,23.2
7,149.6
8,31.4
9,96.2
10,18.5
11,44.5
12,8.4
13,12.5
14,89.2
15,111.4
16,48
17,164.3
18,102
19,255.5
20,66.5
21,37.8
22,29.5
23,33.5
24,1.6
25,68.2
26,74.2
27,99.9
28,1.9
29,165.9
30,14
31,13.1
32,18.6
33,4.7
34,85.2
35,19.4
36,113.1
37,0.4
38,0.4
39,107
40,42.9
41,19.9
42,43.9
43,62.3
44,18
45,20
46,41.3
47,46.2
48,17.3
49,5.9
50,44.6
51,121.5
52,94
53,42
54,131.2
55,71.5
56,11
57,50.9
58,53.7
59,36.1
60,166.2
61,14.7
62,22.2
63,29.4
64,16.7
65,5.1
66,26.4
67,39.2
68,13.2
69,340.7
70,83.1
71,26
72,111.9
73,22.4
74,24.1
75,26.4
76,40.6
77,111.7
78,124.9
79,51.4
80,88.7
81,106.9
82,99.6
83,24
84,106
85,84.8
86,11.2
87,12.1
88,42
89,30.9
90,31.7
91,44.3
92,5.9
93,53.5
94,24.7
95,121.9
96,3.1
97,57.7
98,100.8
99,18.6
100,46.4
101,15.9
102,74.5
103,420.6
104,42.5
105,15.5
106,7.8
107,328.1
108,108.9
109,96
110,3.1
111,173
112,6.5
113,7.2
114,23.6
115,117.6
116,36.7
117,104.1
118,141.5
119,67.6
120,23.1
121,7
122,15.3
123,8
124,17.7
125,93
126,17.7
127,32.1
128,6.7
129,56.8
130,29.6
131,2
132,4.8
133,13.6
134,71.8
135,111
136,125.1
137,76.4
138,51.1
139,65.1
140,103.5
141,19.2
142,104.2
143,2.1
144,16
145,56
146,173.9
147,203
148,81.4
149,144.9
150,3.6
151,257.9
152,129.3
153,20.3
154,2
155,97.1
156,161.5
157,30.3
158,25.2
159,0.8
160,40.5
161,29.5
162,18.1
163,65.1
164,4.5
165,23
166,60.7
167,19.3
168,121.8
169,3.8
170,39.4
171,139.2
172,11.8
173,89.6
174,38.9
175,171.1
176,21.1
177,45.8
178,2.3
179,38.2
180,122.2
181,161
182,75.9
183,18
184,33.8
185,18.2
186,5.4
187,43.6
188,28.3
189,183.8
190,88.6
191,76.6
192,78.7
193,16.2
194,20.9
195,14
196,167.1
197,34.6
198,261.4
199,56.1
200,141.2
201,7.1
202,108.8
203,3
204,9.1
205,67.9
206,11.8
207,3.7
208,58.5
209,141.6
210,89.2
211,39.3
212,2
213,34.4
214,34.7
215,71.6
216,63.8
217,17.1
218,34.9
219,12.6
220,225.1
221,6.5
222,10.7
223,48.5
224,49.9
225,363.5
226,31.9
227,155.9
228,176.1
229,31.6
230,35.4
231,67.4
232,87.6
233,165.9
234,47.6
235,10.1
236,164.8
237,1.8
238,12.9
239,39.3
240,11.3
241,131.6
242,106.7
243,34
244,63
245,10.8
246,44.9
247,92.3
248,52.7
249,179
250,64.5
251,1.6
252,11.6
253,167.9
254,139.1
255,75.4
256,24.5
257,27.9
258,31.4
259,35.8
260,2.2
261,21.7
262,60.3
263,1.8
264,44.4
265,19.8
266,38.9
267,131.6
268,17.6
269,158.9
270,271.8
271,46.6
272,128.3
273,13.8
274,1.5
275,92
276,49
277,306.1
278,60.4
279,42.2
280,183.8
281,47.7
282,40.6
283,100.2
284,102.7
285,48.4
286,142.6
287,18
288,22.1
289,22.9
290,6.6
291,135.9
292,44.9
293,19.8
294,194.6
295,59.3
296,195.4
297,127
298,42.4
299,43.8
300,75.4
301,32.2
302,36
303,140
304,114.8
305,8
306,283.3
307,68.8
308,36.6
309,36.6
310,30.7
311,4.6
312,30.8
313,146
314,13.1
315,36
316,36.2
317,58.3
318,131.2
319,13
320,7.5
321,57.7
322,74.3
323,36.9
324,46.2
325,34.8
326,11.1
327,63
328,140.5
329,20
330,5.1
331,94.3
332,5.6
333,13.1
334,15.2
335,110.6
336,34.3
337,3.5
338,7.4
339,6.3
340,22.1
341,340.2
342,2.9
343,82
344,48.9
345,32.3
346,100
347,35.6
348,1.3
349,69.4
350,1.1
351,8.4
352,4.3
353,11.2
354,117.5
355,73.2
356,34.9
357,438.2
358,57.2
359,96.6
360,35.7
361,46.8
362,0.8
363,20.8
364,219.5
365,62.7
366,32
367,19.6
368,93
369,31.1
370,14.3
371,12.8
372,48.3
373,83.2
374,231.8
375,205.3
376,31
377,142.3
378,21.6
379,94.6
380,161.8
381,22.9
382,11.4
383,0.9
384,73.2
385,68
386,46.6
387,833.6
388,51.3
389,107.2
390,52.3
391,11.1
392,140.6
393,27
394,57
395,188.9
396,415.9
397,51.3
398,30.4
399,421.7
400,502.9
401,43
402,79.2
403,10.7
404,21.7
405,26.9
406,158.7
407,49.5
408,51.9
409,128.8
410,32.6
411,41.4
412,23.9
413,369.7
414,39.7
415,68.4
416,657.2
417,53.6
418,6.6
419,135.9
420,88
421,34.1
422,27.9
423,41
424,64.8
425,60.5
426,195.8
427,9
428,42.8
429,19.6
430,113.2
431,28.9
432,10.4
433,133.8
434,78.4
435,454.5
436,11.7
437,9.9
438,99.8
439,38.8
440,62.6
441,272.6
442,107
443,116.9
444,28
445,355.1
446,81.3
447,67.6
448,81.6
449,269.8
450,11.8
451,75.2
452,73.2
453,31.1
454,156.4
455,131
