System,Inverter_flag,Panel_type,failure_event,Time_in_months
1,1,0,1,85
2,1,0,0,67
3,1,1,0,10
4,0,1,0,120
5,0,1,1,58
6,0,1,1,108
7,0,0,0,9
8,0,1,0,120
9,0,0,0,23
10,0,1,0,18
11,1,0,0,48
12,1,0,0,31
13,0,1,0,120
14,0,1,0,103
15,0,1,0,104
16,0,0,0,35
17,0,0,0,7
18,0,0,0,39
19,0,0,0,7
20,0,1,0,46
21,0,1,0,120
22,0,1,0,120
23,1,1,1,50
24,0,1,0,18
25,0,1,1,86
26,1,0,0,36
27,1,0,0,12
28,0,0,0,9
29,1,0,0,51
30,1,0,0,60
31,1,0,0,19
32,1,0,1,77
33,1,0,1,85
34,0,0,1,46
35,0,1,0,120
36,0,1,0,120
37,1,0,0,65
38,0,1,0,120
39,0,0,0,105
40,1,0,0,33
41,0,1,1,86
42,1,0,1,79
43,0,1,0,120
44,1,1,1,92
45,0,1,0,14
46,1,1,0,40
47,1,0,0,51
48,1,0,0,61
49,0,1,0,120
50,0,1,1,102
51,0,1,1,86
52,0,1,1,68
53,0,1,1,11
54,1,1,1,101
55,0,1,0,120
56,0,0,0,36
57,0,1,1,0
58,1,1,0,58
59,0,1,1,50
60,0,1,1,28
61,1,0,0,20
62,0,1,1,21
63,1,1,0,60
64,0,1,1,35
65,0,0,1,45
66,1,0,0,30
67,1,0,0,3
68,1,0,1,107
69,1,0,0,32
70,1,0,0,65
71,1,1,0,91
72,1,1,0,13
73,1,0,0,27
74,0,1,1,62
75,0,0,1,11
76,1,0,0,56
77,0,1,1,39
78,0,1,1,25
79,1,0,1,110
80,1,0,0,7
81,0,1,1,12
82,1,0,1,77
83,0,1,1,117
84,0,0,0,85
85,1,1,0,66
86,1,1,0,30
87,1,0,0,10
88,1,1,0,28
89,0,1,1,108
90,0,1,1,45
91,0,0,1,42
92,0,0,1,23
93,1,1,1,109
94,0,0,1,57
95,1,0,0,56
96,0,1,1,94
97,1,0,1,107
98,1,0,1,114
99,1,1,0,36
100,0,0,1,49
101,0,0,1,55
102,1,0,1,75
103,0,1,1,79
104,1,1,0,46
105,1,0,0,48
106,0,0,1,78
107,0,1,1,23
108,1,1,0,7
109,0,1,1,23
110,0,1,1,5
111,1,1,1,115
112,0,1,1,13
113,1,1,1,115
114,0,0,1,29
115,0,1,1,85
116,1,0,1,105
117,0,1,1,14
118,0,1,1,66
119,0,1,1,43
120,1,0,1,84
121,1,1,0,17
122,1,1,0,86
123,1,0,0,20
124,0,1,1,115
125,0,0,1,58
126,1,0,0,21
127,0,1,1,94
128,0,1,1,75
129,1,0,0,50
130,1,0,0,17
131,0,1,1,60
132,1,0,0,19
133,0,0,1,49
134,0,1,1,106
135,1,1,1,105
136,1,1,1,110
137,1,0,0,27
138,1,1,0,76
139,0,0,1,47
140,1,0,0,37
141,0,0,1,59
142,0,0,1,54
143,1,1,0,47
144,0,0,0,8
145,0,1,1,97
146,1,0,0,64
147,1,0,0,11
148,1,0,0,49
149,1,1,0,48
150,0,1,1,13
151,0,0,1,47
152,1,0,0,52
153,0,1,1,72
154,1,1,0,75
155,1,0,0,64
156,0,0,1,52
157,0,1,1,111
158,1,1,0,48
159,0,1,1,34
160,0,1,1,42
161,1,0,0,20
162,0,1,1,45
163,1,1,1,101
164,0,1,1,26
165,0,0,1,63
166,1,0,1,78
167,0,1,1,19
168,1,0,0,32
169,0,1,1,115
170,1,0,0,28
171,1,1,0,26
172,1,1,0,5
173,1,0,0,41
174,0,1,1,94
175,0,0,1,15
176,1,0,1,119
177,1,0,1,94
178,0,1,1,119
179,1,0,0,0
180,1,0,0,26
181,1,0,0,48
182,0,0,1,57
183,0,0,1,56
184,0,0,1,22
185,1,1,0,74
186,1,1,0,68
187,0,1,1,89
188,1,1,0,2
189,0,0,1,43
190,1,0,0,43
191,0,0,1,50
192,0,0,1,27
193,1,1,0,48
194,0,1,1,12
195,0,1,1,76
196,1,0,1,72
197,1,0,0,25
198,1,0,0,10
199,1,1,0,33
200,0,0,1,51
201,0,0,1,76
202,1,0,1,84
203,0,1,1,53
204,1,1,0,50
205,1,0,0,25
206,0,0,1,77
207,0,1,1,73
208,1,1,0,68
209,0,1,1,72
210,1,0,0,47
211,1,0,1,93
212,1,0,1,71
213,1,1,1,116
214,0,0,1,47
215,0,0,1,47
216,1,0,0,42
217,0,1,1,32
218,1,0,1,86
219,0,1,1,70
220,1,1,1,64
221,1,1,0,5
222,1,1,0,32
223,1,0,0,27
224,1,0,0,55
225,0,0,1,6
226,1,0,1,73
227,0,1,1,42
228,0,1,1,67
229,1,0,0,46
230,1,0,1,81
231,0,1,1,115
232,0,0,1,59
233,0,0,1,13
234,0,0,1,44
235,1,1,0,79
236,1,1,0,47
237,1,0,0,9
238,1,1,0,58
239,0,0,0,104
240,1,0,1,114
241,0,0,1,27
242,0,0,1,19
243,1,1,0,25
244,0,0,1,45
245,0,1,1,71
246,1,0,0,61
247,1,0,0,50
248,1,0,0,70
249,1,1,0,2
250,0,1,1,64
251,0,0,1,56
252,1,0,0,50
253,1,0,1,105
254,1,1,0,91
255,1,0,0,8
256,1,1,1,111
257,0,1,1,45
258,1,1,1,99
259,0,1,1,13
260,0,1,1,32
261,1,0,1,82
262,1,0,0,27
263,1,1,0,78
264,0,0,1,77
265,0,0,0,24
266,1,0,1,71
267,0,1,1,81
268,1,0,0,60
269,0,1,1,86
270,1,0,0,58
271,1,1,0,93
272,1,1,0,58
273,1,0,0,31
274,0,1,1,59
275,0,0,1,76
276,0,1,1,21
277,0,1,1,111
278,0,1,1,92
279,1,0,0,21
280,1,0,1,83
281,0,1,1,55
282,0,0,1,28
283,0,0,1,12
284,0,0,1,18
285,1,1,0,41
286,1,1,0,0
287,1,0,1,106
288,1,1,0,20
289,0,0,1,54
290,1,0,0,1
291,0,0,1,54
292,0,0,1,51
293,1,1,0,80
294,0,0,1,59
295,0,1,1,47
296,1,0,0,52
297,1,0,1,84
298,1,0,0,65
299,1,1,0,71
300,0,0,1,49
301,0,0,1,61
302,1,0,1,79
303,0,1,1,80
304,1,1,0,5
305,1,0,1,115
306,0,0,1,76
307,1,0,0,70
308,1,1,0,33
309,1,0,0,42
310,0,1,1,33
311,1,0,1,87
312,1,0,1,92
313,1,1,1,103
314,0,0,0,17
315,0,0,1,6
316,0,1,1,11
317,0,1,1,32
318,1,0,1,74
319,0,1,1,60
320,1,0,1,100
321,1,1,0,13
322,1,1,1,105
323,1,0,1,107
324,0,1,1,116
325,0,1,1,34
326,1,0,0,15
327,0,1,1,46
328,1,0,1,88
329,1,0,0,1
330,1,0,0,28
331,0,1,1,66
332,0,0,1,68
333,0,0,1,37
334,0,1,1,12
335,1,1,0,63
336,1,1,0,4
337,1,0,0,30
338,1,1,1,110
339,0,0,1,45
340,1,0,0,22
341,0,1,1,29
342,1,0,0,19
343,1,1,0,91
344,0,0,1,53
345,0,1,1,20
346,1,0,0,10
347,1,0,1,86
348,1,0,0,7
349,1,1,0,66
350,0,0,1,56
351,0,1,1,26
352,1,0,0,23
353,0,1,1,119
354,0,1,0,39
355,1,0,0,27
356,0,0,1,11
357,0,1,1,18
358,0,1,0,14
359,0,1,1,109
360,0,1,1,78
361,1,0,0,11
362,1,0,0,62
363,0,1,0,108
364,0,0,1,27
365,0,0,1,36
366,1,0,1,111
367,0,1,1,45
368,1,0,1,82
369,0,1,1,8
370,1,0,0,70
371,0,1,0,66
372,0,1,0,116
373,1,0,0,59
374,0,1,1,66
375,0,0,1,75
376,1,0,1,104
377,0,1,1,110
378,0,1,1,9
379,1,0,0,48
380,1,0,0,5
381,0,1,1,51
382,0,0,1,19
383,0,1,1,95
384,0,0,1,52
385,0,1,0,82
386,0,1,0,105
387,1,0,0,1
388,0,1,0,11
389,0,0,1,53
390,1,0,0,50
391,0,0,1,61
392,0,1,1,35
393,0,1,0,85
394,0,1,1,29
395,0,1,1,114
396,1,0,0,10
397,1,0,0,33
398,0,1,1,36
399,0,1,0,86
400,0,0,0,119
401,0,0,1,53
402,1,0,1,104
403,0,1,1,108
404,1,1,1,119
405,1,0,0,40
406,0,0,1,21
407,0,1,1,64
408,1,1,1,108
409,0,1,1,0
410,0,1,1,46
411,1,0,0,8
412,1,0,1,102
413,1,1,0,22
414,0,0,1,54
415,0,0,1,67
416,1,0,0,17
417,1,0,1,76
418,1,0,0,41
419,1,0,0,6
420,1,0,0,27
421,1,1,0,14
422,1,1,1,110
423,1,0,1,109
424,0,1,1,72
425,0,0,0,42
426,1,0,0,45
427,0,1,1,27
428,0,1,1,87
429,0,1,0,56
430,0,1,1,87
431,0,1,1,11
432,1,0,0,51
433,0,0,1,30
434,0,0,1,59
435,1,1,0,34
436,1,1,0,44
437,1,0,1,96
438,1,1,1,115
439,1,1,1,45
440,0,1,1,39
441,0,0,0,31
442,0,0,1,48
443,1,1,0,2
444,0,0,1,54
445,1,0,0,31
446,1,0,0,60
447,0,1,0,74
448,1,0,1,95
449,1,1,0,21
450,0,0,1,52
451,0,0,0,98
452,1,0,1,83
453,0,1,1,76
454,1,1,0,7
455,1,0,0,24
456,0,0,1,56
457,0,1,1,53
458,1,1,0,7
459,0,1,1,28
460,0,1,1,42
461,1,0,1,95
462,1,0,1,83
463,1,1,0,28
464,0,0,1,47
465,1,1,1,18
466,1,0,1,114
467,0,1,1,12
468,1,0,0,70
469,0,1,1,41
470,1,0,0,51
471,1,1,0,40
472,1,1,0,86
473,0,1,0,42
474,0,1,1,60
475,0,1,1,15
476,1,0,1,85
477,0,1,1,89
478,0,1,1,110
479,1,0,0,32
480,1,0,0,4
481,0,1,1,120
482,0,1,1,120
483,0,0,0,113
484,0,0,1,33
485,1,1,0,57
486,1,1,0,20
487,1,0,1,86
488,1,1,0,5
489,0,0,1,17
490,1,0,1,98
491,0,1,1,120
492,0,0,1,58
493,1,1,0,94
494,0,0,1,60
495,0,1,1,120
496,1,0,1,120
497,1,0,0,25
498,1,0,1,95
499,1,1,0,80
500,0,0,1,46
501,0,1,1,5
502,0,1,1,120
503,0,1,1,2
504,1,1,0,16
505,0,1,1,11
506,0,0,1,60
507,0,1,1,120
508,1,1,0,27
509,0,1,1,120
510,0,1,1,31
511,1,0,0,31
512,0,1,1,120
513,1,1,0,31
514,1,1,1,106
515,0,0,1,10
516,1,0,1,120
517,0,1,1,120
518,1,0,0,58
519,0,1,1,50
520,1,0,1,93
521,1,1,1,114
522,1,1,0,80
523,1,0,1,73
524,0,1,1,120
525,0,0,1,61
526,1,0,1,120
527,1,0,0,12
528,0,1,1,17
529,1,0,1,120
530,1,0,1,120
531,1,0,0,63
532,0,0,1,60
533,0,1,1,95
534,0,0,1,41
535,1,1,0,77
536,1,1,0,33
537,1,0,1,75
538,1,1,0,35
539,0,0,1,57
540,1,0,0,43
541,0,0,1,48
542,0,0,1,44
543,1,1,1,118
