t,sales
1,1000100
2,1000757
3,996583
4,994007
5,993023
6,1000679
7,986010
8,995568
9,989941
10,996984
11,995194
12,1002834
13,989802
14,976078
15,977179
16,971702
17,964019
18,992096
19,995210
20,1007176
21,998165
22,997594
23,995609
24,988526
25,993116
26,998601
27,996954
28,1000454
29,1000727
30,1005623
31,986051
32,1000381
33,1010834
34,990112
35,1006143
36,1008392
37,1005487
38,1004125
39,1010723
40,1012580
41,1025672
42,1021988
43,1004929
44,1006680
45,992945
46,1001507
47,1004732
48,998360
49,1001892
50,989935
51,986385
52,980543
53,974489
54,974934
55,987923
56,1005836
57,1003367
58,991650
59,1011980
60,1007180
61,1005181
62,1003343
63,1008788
64,1025028
65,1042852
66,1029788
67,1002423
68,1011824
69,990256
70,1014278
71,985923
72,984276
73,977752
74,960059
75,933756
76,912193
77,896013
78,922021
79,984118
80,1009440
81,989963
82,1006319
83,1002316
84,1002985
85,1005463
86,1007661
87,1016670
88,1030366
89,1045879
90,1034667
91,997714
92,996011
93,1005237
94,1003429
95,1005847
96,985283
97,993111
98,990588
99,975112
100,966168
101,990704
102,1016758
103,1005163
104,992866
105,1003741
106,1013893
107,1000851
108,1005536
109,1006168
110,1006785
111,1008738
112,1007894
113,1015058
114,1003086
115,992863
116,1007450
117,1005410
118,1011184
119,996576
120,998731
121,991247
122,981802
123,968643
124,940109
125,927164
126,950670
127,988478
128,1004518
129,990913
130,1011108
131,1007879
132,1001243
133,1008924
134,1010646
135,1030608
136,1035321
137,1043332
138,1047078
139,1007127
140,984031
141,1008228
142,1006208
143,999739
144,1005374
145,1002044
146,1010048
147,1018167
148,1036528
149,1040329
150,1023816
151,1010701
152,1004249
153,996942
154,999968
155,995705
156,1002389
157,997809
158,999967
159,1004843
160,1011890
161,1010365
162,1009655
163,991951
164,1008437
165,1012722
166,993986
167,1008432
168,1002927
169,990391
170,981670
171,967855
172,963796
173,948956
174,957743
175,1002628
176,976196
177,1006117
178,995102
179,992415
180,1005110.883
