"exam_code","material_scope","material_group","document_type","source_repo_path","relative_path","original_filename","normalized_id","file_ext","size_bytes","sha256","qa_status","tags","notes"
"SHARED","19410414.epub","shared","epub-reference","resources/source-material/shared/19410414.epub","19410414.epub","19410414.epub","shared-epub-reference-19410414",".epub","14594141","C1C1CEE3897C7918D53713BB5457247D86ADFFA0841C2266A4C42D298EE45091","extracted","",""
"SHARED","50 economics ideas you really n - edmund conway.epub","shared","epub-reference","resources/source-material/shared/50 Economics Ideas You Really N - Edmund Conway.epub","50 Economics Ideas You Really N - Edmund Conway.epub","50 Economics Ideas You Really N - Edmund Conway.epub","shared-epub-reference-50-economics-ideas-you-really-n-edmund-conway",".epub","492609","15A95181F963009093E8A676CBFF0C2AA7AE7A9BAF36AD6E11CA2C9FBD672053","extracted","",""
"SHARED","ahamed - lords of finance_ the bankers who broke the world (2009).epub","shared","epub-reference","resources/source-material/shared/Ahamed - Lords of Finance_ The Bankers Who Broke the World (2009).epub","Ahamed - Lords of Finance_ The Bankers Who Broke the World (2009).epub","Ahamed - Lords of Finance_ The Bankers Who Broke the World (2009).epub","shared-epub-reference-ahamed-lords-of-finance-the-bankers-who-broke-the-world-2009",".epub","1383249","AB5245D35FCDAC39B7EE81AB24770923DC52BB7C16BC531BBFC14BFE9946D0D2","extracted","",""
"SHARED","ajamie & kelly - financial serial killers_ inside the world of wall street money hustlers, swindlers, and con men (2010).epub","shared","epub-reference","resources/source-material/shared/Ajamie & Kelly - Financial Serial Killers_ Inside the World of Wall Street Money Hustlers, Swindlers, and Con Men (2010).epub","Ajamie & Kelly - Financial Serial Killers_ Inside the World of Wall Street Money Hustlers, Swindlers, and Con Men (2010).epub","Ajamie & Kelly - Financial Serial Killers_ Inside the World of Wall Street Money Hustlers, Swindlers, and Con Men (2010).epub","shared-epub-reference-ajamie-kelly-financial-serial-killers-inside-the-world-of-wall-street-money-hustlers-swindlers-and-con-men-2010",".epub","494939","1B11458E71C9E1BE5B4FF03D55E62F66B5953605EC1C7E2E87795E905C3AAED8","extracted","",""
"SHARED","america the possible_ manifesto - speth, james gustave.epub","shared","epub-reference","resources/source-material/shared/America the Possible_ Manifesto - Speth, James Gustave.epub","America the Possible_ Manifesto - Speth, James Gustave.epub","America the Possible_ Manifesto - Speth, James Gustave.epub","shared-epub-reference-america-the-possible-manifesto-speth-james-gustave",".epub","381497","873FAC64DE9D59660FE5DF4F4BCE6670712518E47E9BD09E6B8A25C48B63DE08","extracted","",""
"SHARED","animal spirits (george a. akerlof, robert j. shiller).epub","shared","epub-reference","resources/source-material/shared/Animal Spirits (George A. Akerlof, Robert J. Shiller).epub","Animal Spirits (George A. Akerlof, Robert J. Shiller).epub","Animal Spirits (George A. Akerlof, Robert J. Shiller).epub","shared-epub-reference-animal-spirits-george-a-akerlof-robert-j-shiller",".epub","532035","40AEED02A1C6EEA932E2DC2A1201DA96F69AD5A645C4C35183EE2DF97E6651E2","extracted","",""
"SHARED","anonymous - diary of a very bad year_ confessions of an anonymous hedge fund manager (2010).epub","shared","epub-reference","resources/source-material/shared/Anonymous - Diary of a Very Bad Year_ Confessions of an Anonymous Hedge Fund Manager (2010).epub","Anonymous - Diary of a Very Bad Year_ Confessions of an Anonymous Hedge Fund Manager (2010).epub","Anonymous - Diary of a Very Bad Year_ Confessions of an Anonymous Hedge Fund Manager (2010).epub","shared-epub-reference-anonymous-diary-of-a-very-bad-year-confessions-of-an-anonymous-hedge-fund-manager-2010",".epub","386698","CF1D1C2D0D2222634E79CAD044E2C83FE94D83F01681A1BFF7F68978EEB38A19","extracted","",""
"SHARED","augar - the greed merchants_ how the investment banks played the free market game (2005).epub","shared","epub-reference","resources/source-material/shared/Augar - The Greed Merchants_ How the Investment Banks Played the Free Market Game (2005).epub","Augar - The Greed Merchants_ How the Investment Banks Played the Free Market Game (2005).epub","Augar - The Greed Merchants_ How the Investment Banks Played the Free Market Game (2005).epub","shared-epub-reference-augar-the-greed-merchants-how-the-investment-banks-played-the-free-market-game-2005",".epub","1865552","5339BD93607580696F20F441066BD03276518CEA3B225E25DCD9C2FEB122B426","extracted","",""
"SHARED","auletta - the streets were paved with gold (1980).epub","shared","epub-reference","resources/source-material/shared/Auletta - The Streets Were Paved with Gold (1980).epub","Auletta - The Streets Were Paved with Gold (1980).epub","Auletta - The Streets Were Paved with Gold (1980).epub","shared-epub-reference-auletta-the-streets-were-paved-with-gold-1980",".epub","2100137","F4BAA6B547D6CC6C4ED8841CB155A33EC41464100C23B54B7DFF4BCFBE064626","extracted","",""
"SHARED","bartiromo - the weekend that changed wall street_ and how the fallout is still impacting the world (2011).epub","shared","epub-reference","resources/source-material/shared/Bartiromo - The Weekend that Changed Wall Street_ and How the Fallout is Still Impacting the World (2011).epub","Bartiromo - The Weekend that Changed Wall Street_ and How the Fallout is Still Impacting the World (2011).epub","Bartiromo - The Weekend that Changed Wall Street_ and How the Fallout is Still Impacting the World (2011).epub","shared-epub-reference-bartiromo-the-weekend-that-changed-wall-street-and-how-the-fallout-is-still-impacting-the-world-2011",".epub","362173","4B79D65AAAEE969F35D93EF545425322F781F6058354ACE683606018C214AA9E","extracted","",""
"SHARED","big_data_new_tricks_for_econom_-_hal_r.epub","shared","epub-reference","resources/source-material/shared/Big_Data_New_Tricks_for_Econom_-_Hal_R.epub","Big_Data_New_Tricks_for_Econom_-_Hal_R.epub","Big_Data_New_Tricks_for_Econom_-_Hal_R.epub","shared-epub-reference-big-data-new-tricks-for-econom-hal-r",".epub","54752","BC7475C861ABE78F29B44124CCAC480298FC34EA9BB7992AE459B220A02471CE","extracted","",""
"SHARED","black - the best way to rob a bank is to own one_ how corporate executives and politicians looted the s&l industry (2005).epub","shared","epub-reference","resources/source-material/shared/Black - The Best Way to Rob a Bank Is to Own One_ How Corporate Executives and Politicians Looted the S&L Industry (2005).epub","Black - The Best Way to Rob a Bank Is to Own One_ How Corporate Executives and Politicians Looted the S&L Industry (2005).epub","Black - The Best Way to Rob a Bank Is to Own One_ How Corporate Executives and Politicians Looted the S&L Industry (2005).epub","shared-epub-reference-black-the-best-way-to-rob-a-bank-is-to-own-one-how-corporate-executives-and-politicians-looted-the-s-l-industry-2005",".epub","3335477","527294B887B92E16EE7B0E471E459DD41DA4023198061EC20D52F35FD5F7788C","extracted","",""
"SHARED","bonner - dice have no memory_ bit bets & bad economics from paris to the pampas (2011).epub","shared","epub-reference","resources/source-material/shared/Bonner - Dice Have No Memory_ Bit Bets & Bad Economics from Paris to the Pampas (2011).epub","Bonner - Dice Have No Memory_ Bit Bets & Bad Economics from Paris to the Pampas (2011).epub","Bonner - Dice Have No Memory_ Bit Bets & Bad Economics from Paris to the Pampas (2011).epub","shared-epub-reference-bonner-dice-have-no-memory-bit-bets-bad-economics-from-paris-to-the-pampas-2011",".epub","1384227","4DC692EA411AE947A440013A7CBD4F3118EE1DC28A4C892B5E05ACD1854ED460","extracted","",""
"SHARED","bremmer - every nation for itself_ winners and losers in a g-zero world (2012).epub","shared","epub-reference","resources/source-material/shared/Bremmer - Every Nation for Itself_ Winners and Losers in a G-Zero World (2012).epub","Bremmer - Every Nation for Itself_ Winners and Losers in a G-Zero World (2012).epub","Bremmer - Every Nation for Itself_ Winners and Losers in a G-Zero World (2012).epub","shared-epub-reference-bremmer-every-nation-for-itself-winners-and-losers-in-a-g-zero-world-2012",".epub","351161","466360A05E8CB185738F9C009BFDD7FEEBD1DD55F96003BF69A9517204EB70F3","extracted","",""
"SHARED","brown - the poker face of wall street (2006).epub","shared","epub-reference","resources/source-material/shared/Brown - The Poker Face of Wall Street (2006).epub","Brown - The Poker Face of Wall Street (2006).epub","Brown - The Poker Face of Wall Street (2006).epub","shared-epub-reference-brown-the-poker-face-of-wall-street-2006",".epub","8020870","288D870D8898B35FDAB58056F05EA4C3D01058C1D09F77301BB9CCA159F2C3D9","extracted","",""
"SHARED","capitalism_ a treatise on econo - george reisman.epub","shared","epub-reference","resources/source-material/shared/Capitalism_ A Treatise on Econo - George Reisman.epub","Capitalism_ A Treatise on Econo - George Reisman.epub","Capitalism_ A Treatise on Econo - George Reisman.epub","shared-epub-reference-capitalism-a-treatise-on-econo-george-reisman",".epub","4402162","B84865666B5FB3C95779D6A04D5DA14E552E7294BA890AEEE75C7BA1527A1CAF","extracted","",""
"SHARED","carey & morris - king of capital_ the remarkable rise and rise again of steve schwarzman and blackstone (2010).epub","shared","epub-reference","resources/source-material/shared/Carey & Morris - King of Capital_ the Remarkable Rise and Rise Again of Steve Schwarzman and Blackstone (2010).epub","Carey & Morris - King of Capital_ the Remarkable Rise and Rise Again of Steve Schwarzman and Blackstone (2010).epub","Carey & Morris - King of Capital_ the Remarkable Rise and Rise Again of Steve Schwarzman and Blackstone (2010).epub","shared-epub-reference-carey-morris-king-of-capital-the-remarkable-rise-and-rise-again-of-steve-schwarzman-and-blackstone-2010",".epub","2034245","7E1CDCCB3D1F1F8D9C425DA5C652E248B161EA8D3E1FC1E43FAA2B46D68ED4F5","extracted","",""
"SHARED","cassidy - how markets fail_ the logic of economic calamities (2009).epub","shared","epub-reference","resources/source-material/shared/Cassidy - How Markets Fail_ the Logic of Economic Calamities (2009).epub","Cassidy - How Markets Fail_ the Logic of Economic Calamities (2009).epub","Cassidy - How Markets Fail_ the Logic of Economic Calamities (2009).epub","shared-epub-reference-cassidy-how-markets-fail-the-logic-of-economic-calamities-2009",".epub","466458","0962D4612410D455EE36D734C6C6B358E3FCB2A3F86428651F8EBF2C04584ABF","extracted","",""
"SHARED","chang.23 things they don_t tell you about capitalism (2010).epub","shared","epub-reference","resources/source-material/shared/Chang.23 Things They Don_t Tell You About Capitalism (2010).epub","Chang.23 Things They Don_t Tell You About Capitalism (2010).epub","Chang.23 Things They Don_t Tell You About Capitalism (2010).epub","shared-epub-reference-chang-23-things-they-don-t-tell-you-about-capitalism-2010",".epub","398590","A8CFF310F35863FA76F1CB5A6F99D82477D75C42FD2A0B036442FF4BB3AB3F50","extracted","",""
"SHARED","chang.bad samaritans - the myth of free trade  (2008).epub","shared","epub-reference","resources/source-material/shared/Chang.Bad Samaritans - The Myth of Free Trade  (2008).epub","Chang.Bad Samaritans - The Myth of Free Trade  (2008).epub","Chang.Bad Samaritans - The Myth of Free Trade  (2008).epub","shared-epub-reference-chang-bad-samaritans-the-myth-of-free-trade-2008",".epub","337894","4F16B756FAD793419517FA6970BFE02AC567F1315CEAE6A3F452BAA3F6C1E802","extracted","",""
"SHARED","cohan - the last tycoon_ the secret history of lazard freres & co. (2007).epub","shared","epub-reference","resources/source-material/shared/Cohan - The Last Tycoon_ the Secret History of Lazard Freres & Co. (2007).epub","Cohan - The Last Tycoon_ the Secret History of Lazard Freres & Co. (2007).epub","Cohan - The Last Tycoon_ the Secret History of Lazard Freres & Co. (2007).epub","shared-epub-reference-cohan-the-last-tycoon-the-secret-history-of-lazard-freres-co-2007",".epub","880457","AC2407F0C88CB9654C4316921A926DAF2AC09AEFBC6F9E1B51E2DDC9375CB87E","extracted","",""
"SHARED","cowen - the great stagnation_ how america ate all the low-hanging fruit of modern history (2011).epub","shared","epub-reference","resources/source-material/shared/Cowen - The Great Stagnation_ How America Ate All the Low-Hanging Fruit of Modern History (2011).epub","Cowen - The Great Stagnation_ How America Ate All the Low-Hanging Fruit of Modern History (2011).epub","Cowen - The Great Stagnation_ How America Ate All the Low-Hanging Fruit of Modern History (2011).epub","shared-epub-reference-cowen-the-great-stagnation-how-america-ate-all-the-low-hanging-fruit-of-modern-history-2011",".epub","179580","2BF46E023C0B2720968C1873BC76EFC24965C131524E8EAFAF6FC9C2BE4A7B23","extracted","",""
"SHARED","dale - the first crash_ lessons from the south sea bubble (2004).epub","shared","epub-reference","resources/source-material/shared/Dale - The First Crash_ Lessons from the South Sea Bubble (2004).epub","Dale - The First Crash_ Lessons from the South Sea Bubble (2004).epub","Dale - The First Crash_ Lessons from the South Sea Bubble (2004).epub","shared-epub-reference-dale-the-first-crash-lessons-from-the-south-sea-bubble-2004",".epub","4900021","0BC46286B4D79B3A0F5B1F47034348F098655AB76D09739F7FA20233470BBC92","extracted","",""
"SHARED","day - the return of the great depression (2009).epub","shared","epub-reference","resources/source-material/shared/Day - The Return of the Great Depression (2009).epub","Day - The Return of the Great Depression (2009).epub","Day - The Return of the Great Depression (2009).epub","shared-epub-reference-day-the-return-of-the-great-depression-2009",".epub","3559604","B1ECB92096CCE9E5A6B09BF2861732F08E4758F64B99CAA3830280C3579AC2FD","extracted","",""
"SHARED","diary of a very bad year_ confessions of an anonymous hedge fund manager (2010).epub","shared","epub-reference","resources/source-material/shared/Diary of a Very Bad Year_ Confessions of an Anonymous Hedge Fund Manager (2010).epub","Diary of a Very Bad Year_ Confessions of an Anonymous Hedge Fund Manager (2010).epub","Diary of a Very Bad Year_ Confessions of an Anonymous Hedge Fund Manager (2010).epub","shared-epub-reference-diary-of-a-very-bad-year-confessions-of-an-anonymous-hedge-fund-manager-2010",".epub","386698","CF1D1C2D0D2222634E79CAD044E2C83FE94D83F01681A1BFF7F68978EEB38A19","extracted","",""
"SHARED","dorling - all that is solid_ the great housing disaster (2014).epub","shared","epub-reference","resources/source-material/shared/Dorling - All That Is Solid_ the Great Housing Disaster (2014).epub","Dorling - All That Is Solid_ the Great Housing Disaster (2014).epub","Dorling - All That Is Solid_ the Great Housing Disaster (2014).epub","shared-epub-reference-dorling-all-that-is-solid-the-great-housing-disaster-2014",".epub","2526937","CBF0D3B573638BEE7DA9E6048BA40FE0AEABF2BAAB0DC10062C035EA5A3714C9","extracted","",""
"SHARED","dreyfuss - hedge hogs_ the cowboy traders behind wall street_s largest hedge fund disaster (2013).epub","shared","epub-reference","resources/source-material/shared/Dreyfuss - Hedge Hogs_ the Cowboy Traders Behind Wall Street_s Largest Hedge Fund Disaster (2013).epub","Dreyfuss - Hedge Hogs_ the Cowboy Traders Behind Wall Street_s Largest Hedge Fund Disaster (2013).epub","Dreyfuss - Hedge Hogs_ the Cowboy Traders Behind Wall Street_s Largest Hedge Fund Disaster (2013).epub","shared-epub-reference-dreyfuss-hedge-hogs-the-cowboy-traders-behind-wall-street-s-largest-hedge-fund-disaster-2013",".epub","2060072","9230CCA684F5613D2B0D06620605820C5FCEF17327EDCB6632F3665AE4DBAF17","extracted","",""
